player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Sergio Asenjo,Valladolid,ESP-La Liga,GK,ESP,33,900,59.6,10.0,0.0,2.1,5.2,3.1,0.1,0.0
Sergio Herrera,Osasuna,ESP-La Liga,GK,ESP,33-097,11373,63.96,27.24,30.0,1.3848588762859404,4.4157214455288845,3.030862569242944,0.22949089949881296,0.015826958586125033
Simone Scuffet,Pisa,ITA-Serie A,GK,ITA,29,4679,60.3,7.925,0.0,1.808078649284035,4.289378072237657,2.4812994229536227,0.0961743962385125,0.0
Stefan Ortega,Nottingham,ENG-Premier League,GK,GER,32,2275,74.7,46.25,0.0,1.1868131868131868,4.153846153846154,2.967032967032967,0.35604395604395606,0.0
Stefano Turati,Sassuolo,ITA-Serie A,GK,ITA,23,5953,64.96666666666665,17.633333333333333,22.233333333333334,1.768856038971947,4.868133714093734,3.0992776751217876,0.12094742146816731,0.045355283050562745
Steve Mandanda,Rennes,FRA-Ligue 1,GK,FRA,39,7560,65.33333333333333,31.366666666666664,22.2,1.2023809523809523,3.738095238095238,2.5357142857142856,0.30952380952380953,0.02380952380952381
Stole Dimitrievski,Valencia,ESP-La Liga,GK,MKD,32-259,9174,62.17999999999999,19.72,10.0,1.3342053629823414,3.9633747547416616,2.658600392413342,0.2354480052321779,0.009810333551340745
Sven Ulreich,Bayern Munich,Unknown,GK,GER,36,1440,54.6,50.775,25.0,0.9375,2.8125,1.875,0.4375,0.0625
Thibaut Courtois,Real Madrid,ESP-La Liga,GK,BEL,34-122,9062,78.88,26.919999999999998,4.0,0.8839108364599426,3.4760538512469656,2.5822114323548884,0.3476053851246966,0.009931582432134187
Thomas Kaminski,Luton Town,ENG-Premier League,GK,BEL,30,3405,62.9,5.3,0.0,2.246696035242291,6.0528634361233475,3.806167400881057,0.05286343612334802,0.0
Timo Horn,Bochum,Unknown,GK,GER,31,1170,60.0,23.1,0.0,1.6923076923076923,4.230769230769231,2.5384615384615383,0.23076923076923078,0.0
