player,team,league,age,nation,pos,playing time_min,standard_sot%,standard_g/sh,team success_ppm,performance_gls_per90,performance_ast_per90,performance_g-pk_per90,performance_pk_per90,performance_crdy_per90,performance_crdr_per90,performance_fls_per90,performance_fld_per90,performance_off_per90,performance_crs_per90,performance_int_per90,performance_tklw_per90,standard_sh_per90,standard_sot_per90
Lamare Bogarde,Aston Villa,ENG-Premier League,22-248,NED,"DF,MF",1546.0,33.333333333333336,0.0,1.0366666666666668,0.0,0.0,0.0,0.0,0.407503234152652,0.0,1.4553686934023287,1.8046571798188875,0.0,0.1164294954721863,0.2910737386804657,1.4553686934023287,0.05821474773609315,0.05821474773609315
Lameck Banda,Lecce,ITA-Serie A,24,ZAM,"MF,FW",5348.0,35.575,0.0575,0.915,0.15145848915482424,0.1682872101720269,0.15145848915482424,0.0,0.3029169783096485,0.033657442034405384,1.9857890800299178,2.288706058339566,0.4207180254300673,3.6181750186985786,0.3534031413612565,1.093866866118175,2.37284966342558,0.9087509349289454
Lamine Camara,Monaco,FRA-Ligue 1,22-252,SEN,MF,6426.0,45.15,0.057499999999999996,1.895,0.08403361344537816,0.21008403361344538,0.08403361344537816,0.0,0.2801120448179272,0.014005602240896359,1.708683473389356,1.9467787114845938,0.014005602240896359,4.817927170868347,1.4005602240896358,1.7787114845938377,1.1484593837535013,0.32212885154061627
Lamine Sy,Auxerre,FRA-Ligue 1,24-031,MTN,DF,1805.0,32.7,0.25,0.52,0.04986149584487535,0.0,0.04986149584487535,0.0,0.04986149584487535,0.0,1.4958448753462605,0.7479224376731303,0.14958448753462603,2.9418282548476458,1.5457063711911359,1.445983379501385,0.7479224376731303,0.14958448753462603
Lamine Yamal,Barcelona,ESP-La Liga,19-059,ESP,"MF,FW",7661.0,47.9,0.092,2.664,0.3994256624461559,0.3406865944393682,0.36418222164208325,0.03524344080407257,0.08223469520950268,0.0,0.9750685289126746,1.9853804986294217,0.4581647304529434,3.3128834355828225,0.5286516120610887,1.0220597833181047,4.029500065265631,1.3509985641561153
Largie Ramazani,Valencia,ESP-La Liga,24,BEL,"MF,FW",4192.0,37.9,0.09000000000000001,0.9499999999999998,0.25763358778625955,0.15028625954198474,0.19322519083969467,0.06440839694656489,0.4508587786259542,0.04293893129770992,1.610209923664122,1.2666984732824427,0.49379770992366406,1.674618320610687,1.3740458015267174,0.601145038167939,2.8339694656488548,1.0734732824427482
Lars Ritzka,St Pauli,Unknown,27,GER,"MF,DF",1888.0,18.75,0.065,0.8049999999999999,0.04766949152542373,0.0,0.04766949152542373,0.0,0.09533898305084745,0.0,0.9533898305084745,0.4290254237288136,0.1430084745762712,1.763771186440678,1.096398305084746,2.5741525423728815,0.5720338983050848,0.09533898305084745
Lars Stindl,Gladbach,Unknown,33,GER,MF,1734.0,44.0,0.16,1.21,0.4152249134948097,0.36332179930795844,0.4152249134948097,0.0,0.4671280276816609,0.0,1.5570934256055364,2.0242214532871974,0.4152249134948097,0.9342560553633218,0.5709342560553633,0.6747404844290658,2.5951557093425603,1.1418685121107266
Lassana Coulibaly,Lecce,ITA-Serie A,30-153,MLI,MF,10600.0,34.06,0.08,0.932,0.05943396226415095,0.0509433962264151,0.05943396226415095,0.0,0.2037735849056604,0.0,1.3669811320754717,1.5877358490566038,0.02547169811320755,0.4160377358490566,0.6113207547169811,1.2650943396226415,0.5858490566037735,0.17830188679245282
Lasse Rosenboom,Holstein Kiel,Unknown,22,GER,MF,1734.0,41.7,0.17,0.88,0.10380622837370243,0.10380622837370243,0.10380622837370243,0.0,0.15570934256055363,0.0,0.9861591695501731,0.6228373702422145,0.0,0.9342560553633218,0.9861591695501731,1.8166089965397922,0.6228373702422145,0.2595155709342561
